9420 9821 11093 12960 26819 32400 
3899 3910 7274 13320 14966 32400 32401 
1769 6106 9762 13680 18582 32401 32402 
818 2451 5853 14040 24488 32402 32403 
3283 8761 12204 14400 29602 32403 32404 
1288 4786 8864 10951 14760 32404 32405 
5114 7817 11644 15120 27382 32405 32406 
1674 10396 12335 15480 32186 32406 32407 
5788 6825 10863 15840 31631 32407 32408 
7579 8659 16200 20944 28447 32408 32409 
692 1660 1984 13679 16560 32409 32410 
2963 7000 7427 11710 16920 32410 32411 
5427 9641 12059 17280 28243 32411 32412 
3140 5975 16605 17640 23889 32412 32413 
332 6614 18000 22940 24349 32413 32414 
4874 8305 10976 18360 22741 32414 32415 
2385 4081 18720 21476 26555 32415 32416 
3067 10026 17879 19080 20218 32416 32417 
5290 8589 9087 19440 29359 32417 32418 
888 5621 10280 13926 19800 32418 32419 
4270 7166 11227 20160 26906 32419 32420 
54 3217 4132 20520 24200 32420 32421 
7111 11214 20880 25630 30905 32421 32422 
1233 3556 7030 16376 21240 32422 32423 
1765 6407 12756 18983 21600 32423 32424 
7197 8711 9852 21960 28364 32424 32425 
791 10683 18995 22320 29997 32425 32426 
2750 4872 12531 22680 24101 32426 32427 
6567 9028 11870 16437 23040 32427 32428 
1922 2282 5326 12819 23400 32428 32429 
7434 8219 17125 23760 31290 32429 32430 
1312 1474 16735 24120 28927 32430 32431 
2318 6151 9171 23187 24480 32431 32432 
5649 6033 12667 14714 24840 32432 32433 
4273 4392 25200 27909 31716 32433 32434 
5171 8128 10267 13043 25560 32434 32435 
2125 7691 9083 18424 25920 32435 32436 
1656 3675 11451 22124 26280 32436 32437 
2777 3796 13637 18318 26640 32437 32438 
7459 9388 17283 20065 27000 32438 32439 
5423 7472 25424 27248 27360 32439 32440 
6131 11245 20713 21173 27720 32440 32441 
5809 7322 9835 28080 31247 32441 32442 
5340 7870 21485 28440 32177 32442 32443 
3180 7052 9253 14392 28800 32443 32444 
669 2092 6782 8103 29160 32444 32445 
2815 7591 12215 25848 29520 32445 32446 
265 9555 18121 23420 29880 32446 32447 
257 3781 5196 12749 30240 32447 32448 
247 1974 10781 11944 30600 32448 32449 
408 4072 4564 21812 30960 32449 32450 
680 1376 7677 30731 31320 32450 32451 
1925 6130 26341 31539 31680 32451 32452 
3714 8495 14623 24643 32040 32452 32453 
0 1150 2428 2978 30190 32453 32454 
360 9013 11155 19275 32034 32454 32455 
720 2176 10264 11128 15469 32455 32456 
1080 1269 4574 9412 21854 32456 32457 
1440 1481 8433 10744 12681 32457 32458 
1800 6375 10688 16111 19626 32458 32459 
2160 4321 7609 14038 20580 32459 32460 
2520 4338 11297 22242 25265 32460 32461 
2880 4612 4650 12862 23559 32461 32462 
640 687 3240 10476 12468 32462 32463 
1260 3600 6769 8316 12015 32463 32464 
3960 4827 6377 17006 25990 32464 32465 
2627 4320 5708 8649 29443 32465 32466 
3354 4680 10889 12368 17970 32466 32467 
2325 5040 11273 11674 15782 32467 32468 
5400 7935 9594 28662 30512 32468 32469 
456 4795 5760 7544 11743 32469 32470 
806 6120 6316 8716 10378 32470 32471 
1072 6480 12427 14133 19216 32471 32472 
6656 6840 9750 12882 22464 32472 32473 
3295 3413 7200 7996 27230 32473 32474 
7560 8063 8288 25097 28066 32474 32475 
5197 7920 9478 10511 19527 32475 32476 
2755 8280 8744 10188 13159 32476 32477 
4889 5485 8640 14944 15888 32477 32478 
979 8037 9000 17441 29870 32478 32479 
1017 4709 9360 23302 28804 32479 32480 
5877 9720 12347 26156 27387 32480 32481 
201 3313 10080 12433 19806 32481 32482 
2723 10078 10440 12023 22665 32482 32483 
4131 6834 10198 10800 24871 32483 32484 
3363 3798 10466 11160 12174 32484 32485 
2908 8522 11184 11520 11556 32485 32486 
4061 9007 11880 15244 30359 32486 32487 
1983 2873 5607 12240 20299 32487 32488 
62 6984 11522 12600 15679 32488 32489 
9421 9822 11094 12961 26820 32489 32490 
3900 3911 7275 13321 14967 32490 32491 
1770 6107 9763 13681 18583 32491 32492 
819 2452 5854 14041 24489 32492 32493 
3284 8762 12205 14401 29603 32493 32494 
1289 4787 8865 10952 14761 32494 32495 
5115 7818 11645 15121 27383 32495 32496 
1675 10397 12336 15481 32187 32496 32497 
5789 6826 10864 15841 31632 32497 32498 
7580 8660 16201 20945 28448 32498 32499 
693 1661 1985 13320 16561 32499 32500 
2964 7001 7428 11711 16921 32500 32501 
5428 9642 12060 17281 28244 32501 32502 
3141 5976 16606 17641 23890 32502 32503 
333 6615 18001 22941 24350 32503 32504 
4875 8306 10977 18361 22742 32504 32505 
2386 4082 18721 21477 26556 32505 32506 
3068 10027 17880 19081 20219 32506 32507 
5291 8590 9088 19441 29360 32507 32508 
889 5622 10281 13927 19801 32508 32509 
4271 7167 11228 20161 26907 32509 32510 
55 3218 4133 20521 24201 32510 32511 
7112 11215 20881 25631 30906 32511 32512 
1234 3557 7031 16377 21241 32512 32513 
1766 6408 12757 18984 21601 32513 32514 
7198 8712 9853 21961 28365 32514 32515 
792 10684 18996 22321 29998 32515 32516 
2751 4873 12532 22681 24102 32516 32517 
6568 9029 11871 16438 23041 32517 32518 
1923 2283 5327 12820 23401 32518 32519 
7435 8220 17126 23761 31291 32519 32520 
1313 1475 16736 24121 28928 32520 32521 
2319 6152 9172 23188 24481 32521 32522 
5650 6034 12668 14715 24841 32522 32523 
